,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F5,Huskies_M9,Opponent15_M5,Opponent15_D5,Huskies_D4,Huskies_G1,Huskies_M1,Huskies_D8,Huskies_D3,Huskies_F6,Opponent15_M6,Opponent15_D6,Opponent15_D3,Opponent15_F3,Opponent15_D1,Huskies_F2,Opponent15_M3,Opponent15_F4,Opponent15_G1,Opponent15_M7,Huskies_M3
30,Opponent15,605.9228400000001,646.657237,46.0,31.0,-15.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,True,True,,,True,,,,
31,Huskies,646.657237,648.167838,54.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,
32,Opponent15,648.167838,734.356014,34.0,45.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
33,Huskies,734.356014,790.977523,69.0,31.0,-38.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,,,,,True
34,Huskies,790.977523,823.498309,51.0,57.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,
35,Huskies,823.498309,868.413476,60.0,31.0,-29.0,4.0,0.0,4.0,12.0,3.0,15.0,0.0,1.0,6.0,7.0,3.0,2.0,1.0,1.0,0.0,True,,,,,True,True,True,,True,True,,,,,,True,,,,,True
36,Huskies,868.413476,904.0223779999999,69.0,31.0,-38.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,True,,True,,,,,,True,,,,,
37,Opponent15,904.0223779999999,940.569689,27.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,
38,Opponent15,940.569689,948.1354789999999,70.0,65.0,-5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,True,,,
39,Opponent15,948.1354789999999,951.8370550000001,64.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,
40,Huskies,951.8370550000001,983.009552,30.0,31.0,1.0,4.0,0.0,2.0,3.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,True,True,,,,,,True,,,,,
41,Opponent15,983.009552,1000.707952,22.0,31.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,True,,,
42,Huskies,1000.707952,1028.4129,12.0,31.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,True,,,,,,,,True,,,,,
43,Huskies,1028.4129,1074.312909,68.0,31.0,-37.0,0.0,0.0,3.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,True,True,True,,,,,,True,,,,,True
44,Huskies,1074.312909,1076.773527,65.0,62.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,True
45,Opponent15,1076.773527,1098.273923,43.0,35.0,-8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,
46,Opponent15,1098.273923,1119.7504529999999,75.0,31.0,-44.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,True,,,,
47,Huskies,1119.7504529999999,1126.9566619999998,6.0,27.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,
48,Huskies,1126.9566619999998,1141.753025,10.0,31.0,21.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,True,,,,,
49,Opponent15,1141.753025,1238.5895560000001,29.0,31.0,2.0,4.0,1.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,True,,True,,,,True,True,,,
50,Huskies,1238.5895560000001,1264.467372,13.0,31.0,18.0,2.0,0.0,6.0,10.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,True,True,,,,,,,,,,True,,,,,True
51,Huskies,1264.467372,1267.0400619999998,38.0,69.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,
52,Opponent15,1267.0400619999998,1304.509143,29.0,31.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,True,
53,Huskies,1304.509143,1311.012828,62.0,50.0,-12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,True
54,Opponent15,1311.012828,1313.546073,32.0,39.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,True,
55,Huskies,1313.546073,1325.191028,41.0,31.0,-10.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,True,,,,,,,,True,,,,,
56,Opponent15,1325.191028,1377.710112,41.0,68.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
57,Huskies,1377.710112,1413.7904369999999,24.0,31.0,7.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,True,,,,,,,,,,,,True
58,Opponent15,1413.7904369999999,1422.088708,66.0,31.0,-35.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,True,,,True,,,True,
59,Huskies,1422.088708,1455.521447,30.0,31.0,1.0,0.0,0.0,4.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,True,,True,True,True,True,,,,,,True,,,,,True
60,Opponent15,1455.521447,1461.6349810000002,11.0,33.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,,,,,
61,Huskies,1461.6349810000002,1500.4377960000002,50.0,31.0,-19.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,True,,True,,,,,,,,,,,,,,True
62,Opponent15,1500.4377960000002,1502.105161,31.0,64.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,True,,,
63,Huskies,1502.105161,1518.1740320000001,32.0,55.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,,,
64,Opponent15,1518.1740320000001,1537.983348,50.0,31.0,-19.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,True,True,,,True,,,
65,Opponent15,1537.983348,1570.8677369999998,36.0,31.0,-5.0,0.0,0.0,1.0,7.0,2.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,,,,,,,,True,True,True,True,True,,True,,,,
66,Huskies,1570.8677369999998,1586.058945,15.0,41.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
67,Huskies,1586.058945,1590.710599,64.0,59.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,
68,Huskies,1590.710599,1602.7867390000001,54.0,31.0,-23.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,,,,,True,,,,,True
69,Huskies,1602.7867390000001,1663.188149,36.0,31.0,-5.0,0.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,,,,,,True,True,,,,,,,,True,,,,,True
70,Huskies,1663.188149,1688.8162300000001,74.0,61.0,-13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,True
71,Huskies,1688.8162300000001,1701.218743,64.0,65.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,True
72,Huskies,1701.218743,1727.536382,61.0,74.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,
73,Huskies,1727.536382,1738.4105739999998,34.0,18.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,
74,Huskies,1738.4105739999998,1747.9162190000002,34.0,31.0,-3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,,True
75,Opponent15,1747.9162190000002,1761.038937,71.0,31.0,-40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,
76,Huskies,1761.038937,1789.926512,8.0,13.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,True
77,Opponent15,1789.926512,1835.748178,93.0,86.0,-7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,True,
78,Opponent15,1835.748178,1860.585157,45.0,31.0,-14.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,True,,,,,,True,True,,True,
79,Huskies,1860.585157,1871.578616,13.0,31.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,,,,,,,,
80,Opponent15,1871.578616,1890.6925170000002,34.0,31.0,-3.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,True,,True,,,,
81,Opponent15,1890.6925170000002,1923.7035859999999,76.0,31.0,-45.0,0.0,0.0,1.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,True,True,True,,True,,,,
82,Huskies,1923.7035859999999,1935.4384129999999,27.0,9.0,-18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,
83,Opponent15,1935.4384129999999,2022.327812,37.0,31.0,-6.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,True,True,,,,True,,True,True,
84,Huskies,2022.327812,2026.7329739999998,39.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,
85,Opponent15,2026.7329739999998,2033.931782,32.0,31.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,True,True,,,,,,
86,Opponent15,2033.931782,2041.0085980000001,71.0,31.0,-40.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,True,,,True,
87,Huskies,2041.0085980000001,2049.394564,10.0,37.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,,,
88,Opponent15,2049.394564,2067.004863,71.0,31.0,-40.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,True,,,True,
89,Huskies,2067.004863,2099.113706,9.0,31.0,22.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,True,True,,,,,,,,,,,,,,,
90,Huskies,2099.113706,2135.320791,34.0,39.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,True
91,Opponent15,2135.320791,2192.449941,71.0,31.0,-40.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,True,True,,,,,,,
92,Opponent15,2192.449941,2204.532588,71.0,31.0,-40.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,True,,,,True,,,,
93,Huskies,2204.532588,2226.159768,7.0,31.0,24.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,True,,,,,,True,,,,,
94,Opponent15,2226.159768,2238.860697,69.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,
95,Opponent15,2238.860697,2249.929745,27.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,True,,
96,Huskies,2249.929745,2257.729032,11.0,7.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,
97,Huskies,2257.729032,2275.0352239999997,24.0,31.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,True,,,,,
98,Opponent15,2275.0352239999997,2312.115374,38.0,31.0,-7.0,2.0,0.0,3.0,12.0,2.0,7.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,,,,True,True,,,,,,,True,,,True,,,True,,,True,
99,Huskies,2312.115374,2380.165993,63.0,87.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,,,,,,,,
100,Opponent15,2380.165993,2399.932275,60.0,31.0,-29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,True,,,,
101,Huskies,2399.932275,2410.4350059999997,27.0,31.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,True
102,Huskies,2410.4350059999997,2446.413579,56.0,31.0,-25.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,True,,,,,,,,,,,,,
103,Huskies,2446.413579,2507.102863,55.0,31.0,-24.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,True,True,True,,,,,,,True,,,,,True
104,Huskies,2507.102863,2522.553676,90.0,86.0,-4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,,,,,,,,,
105,Opponent15,2522.553676,2549.3448399999997,46.0,31.0,-15.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,True,True,,True,,,True,,,,
106,Huskies,2549.3448399999997,2595.404707,30.0,41.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,
107,Opponent15,2595.404707,2599.055616,27.0,37.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,True,
108,Huskies,2599.055616,2636.375502,35.0,31.0,-4.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,True,,,,,,,,,,,,
109,Huskies,2636.375502,2644.199865,45.0,40.0,-5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,,,,,,,,,,
110,Opponent15,2644.199865,2652.504425,45.0,67.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,
111,Opponent15,2652.504425,2660.511801,85.0,87.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,
112,Opponent15,2660.511801,2676.212387,77.0,71.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,,,
