,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent4_M1,Opponent4_D3,Opponent4_D4,Opponent4_D2,Opponent4_D1,Huskies_D4,Huskies_M3,Huskies_M6,Opponent4_G1,Opponent4_M3,Huskies_D2,Huskies_F3,Huskies_M2,Huskies_F2,Huskies_D5,Huskies_M1,Huskies_G1,Opponent4_D5,Opponent4_F1,Opponent4_M2,Huskies_D1,Opponent4_M4
28,Huskies,498.48464800000005,554.3923480000001,33.0,26.0,-7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,True,,,,,,
29,Huskies,554.3923480000001,588.377563,69.0,26.0,-43.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,True,,,,,,,,,,
30,Huskies,588.377563,592.545276,25.0,26.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,True,
31,Huskies,592.545276,595.903445,33.0,46.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,
32,Opponent4,595.903445,649.968068,55.0,68.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,True,,
33,Huskies,649.968068,681.015954,43.0,26.0,-17.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,,,,True,,,,,,
34,Huskies,681.015954,696.782145,13.0,7.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,True,
35,Opponent4,696.782145,738.0275889999999,60.0,26.0,-34.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,True,,,,True
36,Huskies,738.0275889999999,854.742509,57.0,26.0,-31.0,4.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,True,True,True,True,True,,,,,,
37,Huskies,854.742509,876.6673880000001,28.0,72.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,,
38,Opponent4,876.6673880000001,900.4345800000001,57.0,26.0,-31.0,0.0,1.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,True,,,,,True,,,,,,,,True,,True,,
39,Opponent4,900.4345800000001,938.02186,93.0,97.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,True,,,
40,Opponent4,938.02186,946.999745,24.0,23.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,True,,,,
41,Huskies,946.999745,966.9180279999999,33.0,26.0,-7.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,True,,,,True,True,,,,,True,
42,Opponent4,966.9180279999999,974.771351,43.0,26.0,-17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,True,,
43,Opponent4,974.771351,990.453686,58.0,26.0,-32.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,,True,,,,,,,,,True,,,
44,Opponent4,990.453686,1029.668743,88.0,99.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,True
45,Opponent4,1029.668743,1083.8777460000001,68.0,26.0,-42.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,True,,,,
46,Huskies,1083.8777460000001,1089.158799,10.0,31.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,
47,Opponent4,1089.158799,1118.951425,60.0,71.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,True
48,Opponent4,1118.951425,1137.622741,39.0,26.0,-13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,True,True,,
49,Huskies,1137.622741,1157.456128,12.0,26.0,14.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,True,,,,,,True,,,,,
50,Opponent4,1157.456128,1182.143318,24.0,26.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,True,,,,,,,,,,,,,
51,Huskies,1182.143318,1236.320168,34.0,26.0,-8.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,True,True,,,,,,,,
52,Huskies,1236.320168,1287.460909,12.0,26.0,14.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,True,,True,,,,,
53,Huskies,1287.460909,1344.75827,65.0,26.0,-39.0,2.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,True,,,,True,True,True,,,,True,
54,Huskies,1344.75827,1356.276077,45.0,26.0,-19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,,,,,,,,,True,
55,Opponent4,1356.276077,1364.26216,10.0,7.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,,
56,Huskies,1364.26216,1396.613616,38.0,26.0,-12.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,True,,,,True,,,,,,True,
57,Opponent4,1396.613616,1414.817015,52.0,26.0,-26.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,True,,,,
58,Opponent4,1414.817015,1445.403422,68.0,26.0,-42.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,,True,,,,,,,,True,,True,,
59,Opponent4,1445.403422,1459.841534,15.0,26.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,True,,,,,,,,,,,,,
60,Huskies,1459.841534,1480.050698,71.0,26.0,-45.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,True,,,,,,,,,,True,
61,Opponent4,1480.050698,1491.397142,13.0,21.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,,
62,Opponent4,1491.397142,1581.165758,58.0,26.0,-32.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,True,,True,,True
63,Opponent4,1581.165758,1607.077275,35.0,26.0,-9.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,True,True,,,,,,,,True,,True,,
64,Opponent4,1607.077275,1661.963306,72.0,26.0,-46.0,6.0,0.0,3.0,9.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,True,True,,,,,True,,,,,,,,True,True,True,,
65,Opponent4,1661.963306,1746.448401,71.0,79.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,True,,,
66,Opponent4,1746.448401,1792.3892079999998,14.0,26.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,True,,
67,Huskies,1792.3892079999998,1797.677029,65.0,69.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,,,,
68,Opponent4,1797.677029,1801.4702969999998,25.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,
69,Huskies,1801.4702969999998,1830.2060420000003,30.0,26.0,-4.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,True,True,,,,True,
70,Huskies,1830.2060420000003,1867.590356,63.0,26.0,-37.0,0.0,0.0,3.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,True,,True,True,,,,,,
71,Huskies,1867.590356,1873.365702,61.0,76.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,
72,Huskies,1873.365702,1912.410225,47.0,26.0,-21.0,2.0,0.0,3.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,True,,True,,True,,,,,,True,
73,Opponent4,1912.410225,1919.997217,23.0,21.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
74,Huskies,1919.997217,1982.053007,17.0,26.0,9.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,True,
75,Huskies,1982.053007,1991.5289510000002,74.0,26.0,-48.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,True,,,,,,,,,,
76,Opponent4,1991.5289510000002,2001.689766,4.0,26.0,22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,True
77,Huskies,2001.689766,2026.4068309999998,38.0,26.0,-12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,True,True,,,,,,,,,,
78,Huskies,2026.4068309999998,2043.379505,59.0,26.0,-33.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,True,True,,,,,,
79,Opponent4,2043.379505,2046.5235059999998,10.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,
80,Huskies,2046.5235059999998,2095.068777,72.0,26.0,-46.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,,,,,,True,
81,Huskies,2095.068777,2127.075965,14.0,26.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,True,,,,True,
82,Opponent4,2127.075965,2157.711009,38.0,26.0,-12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,,,,,,,,,,,,,,
83,Huskies,2157.711009,2163.5618649999997,20.0,26.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,True,,,,,
84,Huskies,2163.5618649999997,2213.703869,60.0,26.0,-34.0,7.0,0.0,1.0,6.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,True,True,True,True,,,,,,
85,Opponent4,2213.703869,2227.764098,9.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,,,,,,,,,,,
86,Opponent4,2227.764098,2256.5623379999997,33.0,26.0,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,True,,
87,Huskies,2256.5623379999997,2311.359888,39.0,26.0,-13.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,True,True,,,,,,
88,Opponent4,2311.359888,2347.401435,27.0,26.0,-1.0,0.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,,True,True,,,,,,,,,,,,,True,,,,
89,Opponent4,2347.401435,2357.483628,70.0,26.0,-44.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,True,,,,,,,,,,,,
90,Huskies,2357.483628,2407.6821879999998,28.0,37.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,,,,,
91,Huskies,2407.6821879999998,2424.4659030000003,40.0,26.0,-14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,True,,,,True,,,,,,,
92,Opponent4,2424.4659030000003,2454.152847,31.0,26.0,-5.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,True,,,,,,,,,,,,,,,,,True
93,Huskies,2454.152847,2468.433416,18.0,26.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,True,,,,,
94,Opponent4,2468.433416,2538.825003,71.0,26.0,-45.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,True
95,Huskies,2538.825003,2567.586785,23.0,26.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,True,,,,,,,,,,
96,Huskies,2567.586785,2581.335747,34.0,32.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,,,,,,
97,Opponent4,2581.335747,2587.000043,64.0,26.0,-38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,True
98,Huskies,2587.000043,2594.2645620000003,13.0,26.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,,,,,,,
99,Opponent4,2594.2645620000003,2606.307314,84.0,26.0,-58.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,True,,,,,,,,True,,,,True
100,Opponent4,2606.307314,2687.0014309999997,69.0,26.0,-43.0,12.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,True,,,,,,,,,,,,
101,Opponent4,2687.0014309999997,2723.445334,24.0,26.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,True,,True
102,Opponent4,2723.445334,2748.7442379999998,67.0,75.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,
103,Huskies,2748.7442379999998,2764.479297,28.0,26.0,-2.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,True,,True,,,,True,
104,Opponent4,2764.479297,2781.176686,57.0,26.0,-31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,,,True
105,Huskies,2781.176686,2786.1586429999998,58.0,61.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,
106,Opponent4,2786.1586429999998,3900.0,42.0,26.0,-16.0,0.0,1.0,4.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,,True,True,,,,True,,,,,,,,,True,True,True,,
