,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F6,Huskies_F5,Huskies_D8,Huskies_M4,Opponent8_M1,Opponent8_F2,Opponent8_D6,Huskies_M12,Huskies_D4,Huskies_M6,Opponent8_D7,Opponent8_M5,Opponent8_D3,Huskies_F2,Huskies_G1,Huskies_D3,Opponent8_D2,Opponent8_M2,Opponent8_M6,Opponent8_F1,Opponent8_G1
10,Opponent8,327.932245,355.891944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,
11,Huskies,355.891944,379.51168700000005,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,True,,,,,,True,,,,,
12,Huskies,379.51168700000005,481.882572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,
13,Huskies,481.882572,490.177792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,
14,Huskies,490.177792,503.680387,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,True,True,,,,,,,,,,,
15,Opponent8,503.680387,513.292187,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,True,,,
16,Opponent8,513.292187,592.759043,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,True,True,,,,,,,,
17,Huskies,592.759043,669.8711,3.0,10.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,True,True,,,,,True,,,,,,,
18,Opponent8,669.8711,694.4019549999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,,True,,
19,Huskies,694.4019549999999,772.1487139999999,3.0,4.0,3.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,True,True,,,,,True,,True,,,,,
20,Opponent8,772.1487139999999,778.2590730000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,True,True
21,Huskies,778.2590730000001,829.734742,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,True,True,,,,,True,,,,,True,,,,,,,
22,Huskies,829.734742,842.03806,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,True,,,,,,,,,,,
23,Huskies,842.03806,930.1314449999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,True,,,,,,,
24,Huskies,930.1314449999999,946.114423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,
25,Huskies,946.114423,976.591735,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,True,,,,,True,,,,,,,
26,Huskies,976.591735,987.452859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,
27,Huskies,987.452859,997.141014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,True,,,,,,,,,,,
28,Huskies,997.141014,1052.283587,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,True,,,,,,,
29,Huskies,1052.283587,1073.4642119999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,True,,,,,True,,,,,,,
30,Huskies,1073.4642119999999,1079.180851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
31,Opponent8,1079.180851,1131.3378810000002,6.0,16.0,3.0,9.0,0.0,0.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,,,,,,True,,True,,,,True,True,True,,,,True,,True,,True
32,Huskies,1131.3378810000002,1134.451102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
33,Opponent8,1134.451102,1145.2708630000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,True,
34,Huskies,1145.2708630000002,1210.730607,5.0,8.0,1.0,4.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,,,,,,True,True,True,,,,True,,,,,,,
35,Huskies,1210.730607,1261.859166,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,True,,,,,,,True,,,,,
36,Huskies,1261.859166,1352.868228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,
37,Huskies,1352.868228,1471.374544,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,True,,,,True,,,,,,,
38,Huskies,1471.374544,1477.639864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,
39,Opponent8,1477.639864,1502.778922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,True,
40,Huskies,1502.778922,1510.578817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,True,,,,,
41,Opponent8,1510.578817,1521.722316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,True,,,
42,Opponent8,1521.722316,1567.8332699999999,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,True,True,,,
43,Huskies,1567.8332699999999,1574.884698,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,,,,,,,,,,
44,Huskies,1574.884698,1606.044526,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,True,True,,,,,True,,True,,,,,
45,Huskies,1606.044526,1658.903803,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,True,,,,,
46,Huskies,1658.903803,1711.294786,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,True,,,,True,,True,,,,,
47,Huskies,1711.294786,1789.7252760000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,,,,,,,
48,Huskies,1789.7252760000001,1796.770268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,,,,,
49,Opponent8,1796.770268,1818.538102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,,,,,,,,
50,Huskies,1818.538102,1820.002022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,,,,,
51,Opponent8,1820.002022,1828.529947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,True,
52,Huskies,1828.529947,1883.9078149999998,1.0,8.0,1.0,12.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,,True,True,,,,True,True,True,,,,,
53,Opponent8,1883.9078149999998,1894.386466,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,True,,,
54,Opponent8,1894.386466,1896.170157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,
55,Huskies,1896.170157,2022.6920739999998,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,True,,True,,,,,
56,Huskies,2022.6920739999998,2034.771023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,
57,Opponent8,2034.771023,2048.720997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,
58,Huskies,2048.720997,2053.8116010000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,
59,Opponent8,2053.8116010000003,2058.766064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,True
60,Huskies,2058.766064,2145.723357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,,,
61,Opponent8,2145.723357,2153.467428,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,True,,True,
62,Huskies,2153.467428,2160.181137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,,,
63,Opponent8,2160.181137,2168.2427940000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,True,,,,,,,,
64,Huskies,2168.2427940000002,2189.86542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,,,,,
65,Huskies,2189.86542,2198.223815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,
66,Huskies,2198.223815,2220.4083739999996,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,True,True,,,,,
67,Huskies,2220.4083739999996,2275.70971,2.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,,True,,,,,True,True,,,,,
68,Huskies,2275.70971,2325.270026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,
69,Huskies,2325.270026,2336.341138,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,,,,,,,,,,,,True,,,,,
70,Opponent8,2336.341138,2393.775419,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,True,True,,
71,Opponent8,2393.775419,2456.055993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,
72,Huskies,2456.055993,2539.078829,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,True,True,True,,,,,
73,Opponent8,2539.078829,2554.928282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,,,,,,
74,Opponent8,2554.928282,2578.021576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,True,,True
75,Huskies,2578.021576,2605.968178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,
76,Huskies,2605.968178,2632.9991440000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,True,,,,,,,,,,,
77,Huskies,2632.9991440000003,2639.818031,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,True,,True,,,,,,,,,,,
78,Opponent8,2639.818031,2646.7710420000003,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,True,True,,
79,Huskies,2646.7710420000003,2662.280958,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,,,,,,,True,,,,,,,
80,Huskies,2662.280958,2684.657976,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,True,,,,True,,True,,,,,
81,Huskies,2684.657976,2688.659679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,,,,,
82,Opponent8,2688.659679,2732.9764600000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,True,,,,
83,Huskies,2732.9764600000003,2760.877475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,
84,Huskies,2760.877475,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,
