,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent9_M1,Opponent9_D6,Opponent9_G1,Opponent9_M2,Opponent9_F3,Huskies_D2,Huskies_M1,Huskies_M4,Huskies_F6,Opponent9_D4,Opponent9_M3,Opponent9_D5,Opponent9_D3,Opponent9_M6,Huskies_D5,Huskies_G1,Huskies_D9,Huskies_D7,Huskies_M3,Huskies_M12,Huskies_F4,Opponent5_M3,Huskies_F1,Opponent9_G2,Opponent9_M4,Huskies_F5
24,Opponent9,696.9689210000001,799.0874150000001,41.0,45.0,4.0,2.0,0.0,8.0,19.0,3.0,9.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,True,True,,True,True,,,,,True,True,True,True,True,,,,,,,,True,,,,
25,Huskies,799.0874150000001,826.0597739999997,10.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,True,,,,,,,
26,Opponent9,826.0597739999997,831.7992979999998,28.0,22.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,,,,,,,,
27,Huskies,831.7992979999998,850.7259530000001,56.0,45.0,-11.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,,True,True,True,,,,,
28,Huskies,850.7259530000001,962.3488189999997,59.0,45.0,-14.0,5.0,0.0,6.0,21.0,1.0,9.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,True,,True,True,True,True,True,,,,,
29,Huskies,962.3488189999997,966.4283199999999,37.0,45.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,True,,,,,,,
30,Huskies,966.4283199999999,973.3047789999999,63.0,63.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,True,,,
31,Opponent9,973.3047789999999,981.0890069999997,37.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,,,,,
32,Opponent9,981.0890069999997,991.7408079999997,7.0,27.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,
33,Huskies,991.7408079999997,1001.755137,39.0,45.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,True,,,,,,
34,Opponent9,1001.755137,1014.1464079999997,32.0,45.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,True,,,,,,,,,True,,,,
35,Opponent9,1014.1464079999997,1070.6644560000002,47.0,45.0,-2.0,2.0,0.0,7.0,20.0,3.0,12.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,,True,,,,,,True,True,True,True,True,,,,,,,,True,,,,
36,Huskies,1070.6644560000002,1171.7968199999996,33.0,45.0,12.0,3.0,1.0,5.0,17.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,True,True,True,True,True,,,,True,,,
37,Huskies,1171.7968199999996,1206.558895,34.0,45.0,11.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,True,True,,,,,,,,,,,True,,,True,,True,,,
38,Huskies,1206.558895,1217.4900779999996,43.0,45.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,True,,,,,,,,,,,
39,Opponent9,1217.4900779999996,1249.708885,32.0,45.0,13.0,0.0,0.0,2.0,5.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,,,,,,,,True,True,True,True,,,,,,,,,True,,,,
40,Huskies,1249.708885,1318.7925610000002,28.0,21.0,-7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,True,,,,,,,,
41,Huskies,1318.7925610000002,1323.325339,86.0,88.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,,True,,,
42,Opponent9,1323.325339,1332.772597,23.0,45.0,22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,,,,,,True,,,,
43,Opponent9,1332.772597,1342.3872220000005,26.0,20.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,,,,
44,Huskies,1342.3872220000005,1556.339914,35.0,45.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,True,,,True,,,,,
45,Opponent9,1556.339914,1574.8817980000006,72.0,45.0,-27.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,True,True,,,,,,,,,True,,,,
46,Opponent9,1574.8817980000006,1597.5249949999998,94.0,45.0,-49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,,,,,,,,,,,
47,Huskies,1597.5249949999998,1651.805485,14.0,45.0,31.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,True,,,,True,,,,,
48,Opponent9,1651.805485,1695.2830190000006,13.0,45.0,32.0,0.0,0.0,6.0,13.0,1.0,7.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,True,True,,,,,,,,True,True,True,,True,,,,,,,,True,,True,,
49,Huskies,1695.2830190000006,1699.9819719999994,15.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,True,,,
50,Opponent9,1699.9819719999994,1776.145571,93.0,89.0,-4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,True,,,,
51,Huskies,1776.145571,1803.5899659999993,27.0,33.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,,,,,,
52,Huskies,1803.5899659999993,1820.508507,60.0,45.0,-15.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,True,True,,,,,,
53,Huskies,1820.508507,1832.4098270000006,72.0,45.0,-27.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,True,,,,,,
54,Opponent9,1832.4098270000006,1843.4584400000006,23.0,33.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,,,,,,,,,,,
55,Opponent9,1843.4584400000006,1909.162932,83.0,45.0,-38.0,5.0,0.0,3.0,14.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,True,True,,True,True,,,,,,,,,,,True,
56,Huskies,1909.162932,1977.0048850000005,30.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,,,,,,,,
57,Opponent9,1977.0048850000005,1992.655631,17.0,45.0,28.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,True,,,,,,,,,,,,,True,,
58,Huskies,1992.655631,2036.7970160000007,74.0,45.0,-29.0,4.0,0.0,1.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,,True,True,,True,,,True,,,True
59,Opponent9,2036.7970160000007,2055.09877,24.0,45.0,21.0,1.0,0.0,3.0,7.0,3.0,2.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,,True,,,True,,,,,True,,,True,,,,,,,,,,,,True,
60,Opponent9,2055.09877,2070.987923,68.0,57.0,-11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,True,,,,
61,Huskies,2070.987923,2134.4530579999996,52.0,45.0,-7.0,6.0,1.0,2.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,,True,,,,True,,,True
62,Huskies,2134.4530579999996,2147.6533,12.0,45.0,33.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,,True,,,
63,Huskies,2147.6533,2194.5403290000004,92.0,88.0,-4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,True,,,
64,Huskies,2194.5403290000004,2227.8037910000007,48.0,37.0,-11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,,,,,
65,Opponent9,2227.8037910000007,2231.13841,30.0,42.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,,,,True,
66,Huskies,2231.13841,2261.843836,58.0,45.0,-13.0,2.0,0.0,4.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,True,True,True,True,True,,,True,,,
67,Opponent9,2261.843836,2278.046341,61.0,45.0,-16.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,True,,,,
68,Huskies,2278.046341,2319.342454,29.0,45.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,True,,,,,,True
69,Opponent9,2319.342454,2352.772912000001,11.0,45.0,34.0,0.0,0.0,1.0,6.0,1.0,10.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,True,True,True,,,,,,,,,True,,True,True,
70,Huskies,2352.772912000001,2414.647365,22.0,45.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,,,,,,True,,,
71,Huskies,2414.647365,2454.657994,10.0,45.0,35.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,True,True,,,,,,,,
72,Opponent9,2454.657994,2469.5028,44.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,,,,True,
73,Huskies,2469.5028,2483.5309030000003,12.0,45.0,33.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,True,True,,,,,,,,
74,Opponent9,2483.5309030000003,2505.118547,24.0,45.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,True,True,,,,,,,,True,,,,
75,Opponent9,2505.118547,2528.544342,28.0,45.0,17.0,5.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,,,,,,,,,,,,True,,
76,Huskies,2528.544342,2555.840959,32.0,45.0,13.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,True,,True,True,,,,,,
77,Opponent9,2555.840959,2563.822977,41.0,45.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,,,True,,,,
78,Huskies,2563.822977,2570.8199640000007,35.0,45.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,True,,,,,,,
79,Opponent9,2570.8199640000007,2592.405979,27.0,45.0,18.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,True,,,,,,,,,,,,,,
80,Huskies,2592.405979,2620.651999,65.0,45.0,-20.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,True,True,True,True,,,,,,
81,Opponent9,2620.651999,2703.239461,11.0,45.0,34.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,True,,,,,,,,,,,,
82,Huskies,2703.239461,2722.294382,23.0,45.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,True,True,,,,,,,,
83,Huskies,2722.294382,2762.634871,62.0,45.0,-17.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,True,,True,True,True,,,,,,,
84,Huskies,2762.634871,2769.36396,92.0,80.0,-12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,,,,,
85,Opponent9,2769.36396,2786.1907600000004,13.0,25.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,,,,,
86,Opponent9,2786.1907600000004,3900.0,11.0,45.0,34.0,2.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,True,True,True,,,,,,,,True,,True,,
