,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent2_F1,Opponent2_M1,Opponent2_F2,Opponent2_D1,Opponent2_D2,Huskies_D4,Huskies_F2,Opponent2_M2,Huskies_G1,Huskies_D1,Opponent2_D3,Opponent2_M4,Opponent2_G1,Huskies_F1,Huskies_M1,Huskies_D6,Opponent2_M3,Opponent2_D4,Huskies_M4,Huskies_D3,Huskies_M3,Huskies_D2
13,Opponent2,461.00264400000003,532.329688,38.0,43.0,5.0,4.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,True,True,,,,,True,True,,,,
14,Huskies,532.329688,538.88638,17.0,9.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
15,Opponent2,538.88638,544.179035,40.0,65.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
16,Huskies,544.179035,565.095671,39.0,43.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,,,,,,
17,Huskies,565.095671,583.038508,72.0,43.0,-29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,True,,,
18,Opponent2,583.038508,598.635739,24.0,43.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,True,,,,,,,True,,,,
19,Huskies,598.635739,620.607021,17.0,43.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,True,,
20,Opponent2,620.607021,755.451091,54.0,43.0,-11.0,13.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,True,,,,,True,,,,,
21,Huskies,755.451091,773.177129,28.0,43.0,15.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,True,,,,,,True,
22,Huskies,773.177129,789.801191,35.0,43.0,8.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,True,True,
23,Huskies,789.801191,798.499849,33.0,67.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,True,,
24,Huskies,798.499849,857.694934,32.0,43.0,11.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,True,,,True
25,Huskies,857.694934,868.694936,38.0,43.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,True,,True
26,Opponent2,868.694936,889.02363,38.0,64.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,
27,Opponent2,889.02363,920.0609029999999,67.0,43.0,-24.0,0.0,1.0,4.0,7.0,2.0,8.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,True,True,,,,,True,,,,,
28,Huskies,920.0609029999999,955.0968640000001,13.0,43.0,30.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,,True,,,
29,Opponent2,955.0968640000001,958.076093,34.0,58.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,
30,Huskies,958.076093,1048.116423,37.0,43.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,True,,,,True,,
31,Opponent2,1048.116423,1052.5586369999999,36.0,61.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,,,,
32,Opponent2,1052.5586369999999,1056.157873,59.0,67.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,
33,Huskies,1056.157873,1071.094493,32.0,43.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,True,,,,,,True,
34,Huskies,1071.094493,1117.572473,71.0,79.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,
35,Opponent2,1117.572473,1123.52765,8.0,39.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,
36,Huskies,1123.52765,1131.077926,41.0,16.0,-25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,True,,
37,Opponent2,1131.077926,1195.893298,32.0,43.0,11.0,6.0,0.0,6.0,10.0,2.0,4.0,2.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,,True,True,True,True,,,,,,,True,,,,,,True,,,,
38,Opponent2,1195.893298,1207.6984810000001,52.0,43.0,-9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,,True,True,,,,
39,Huskies,1207.6984810000001,1212.7671070000001,15.0,61.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,
40,Opponent2,1212.7671070000001,1235.6499099999999,33.0,43.0,10.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,True,,,,,,True,,,,,,,,,,,
41,Opponent2,1235.6499099999999,1250.569366,66.0,43.0,-23.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,True,,,,,,,,,,,,,,
42,Huskies,1250.569366,1264.0903349999999,26.0,9.0,-17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
43,Huskies,1264.0903349999999,1299.4124160000001,67.0,43.0,-24.0,2.0,0.0,3.0,10.0,2.0,5.0,0.0,1.0,3.0,1.0,6.0,2.0,1.0,1.0,0.0,,,,,,,True,,,True,,,,,True,True,,,True,True,True,True
44,Opponent2,1299.4124160000001,1391.086975,23.0,43.0,20.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,True,,,,True,,,,,,True,,,,
45,Huskies,1391.086975,1397.616534,26.0,43.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,True,True,,
46,Huskies,1397.616534,1453.412931,34.0,79.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,
47,Opponent2,1453.412931,1466.57508,23.0,43.0,20.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,True,,,,,True,,,,
48,Huskies,1466.57508,1472.1509019999999,11.0,6.0,-5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,
49,Huskies,1472.1509019999999,1490.527668,27.0,62.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,
50,Opponent2,1490.527668,1607.181079,42.0,43.0,1.0,0.0,2.0,4.0,10.0,4.0,10.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,True,,,True,,,,True,,,,,True,True,,,,
51,Opponent2,1607.181079,1614.4129369999998,20.0,43.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,True,,,,
52,Huskies,1614.4129369999998,1636.690116,47.0,43.0,-4.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,True,True,
53,Huskies,1636.690116,1654.169988,50.0,43.0,-7.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,True,,,,True,,True,
54,Huskies,1654.169988,1669.970064,49.0,67.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,
55,Huskies,1669.970064,1692.2865980000001,70.0,43.0,-27.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,True,,,,,True,
56,Huskies,1692.2865980000001,1697.811438,77.0,43.0,-34.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,True,,,
57,Opponent2,1697.811438,1718.972965,18.0,43.0,25.0,4.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,True,,,,True,,,,,,,,,,
58,Huskies,1718.972965,1738.720609,33.0,43.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,True,,,
59,Huskies,1738.720609,1827.4473710000002,43.0,43.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,True,True,,,,,True,True
60,Huskies,1827.4473710000002,1844.9355079999998,39.0,43.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,True,,,,,,,
61,Opponent2,1844.9355079999998,1926.32665,11.0,43.0,32.0,4.0,0.0,2.0,9.0,1.0,7.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,,,,True,,,True,,,,,,,True,,,,
62,Opponent2,1926.32665,1929.7726129999999,34.0,30.0,-4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,,,,,,,
63,Opponent2,1929.7726129999999,1948.913038,42.0,43.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,True,,,,,,,,,,
64,Opponent2,1948.913038,1996.6368989999999,67.0,43.0,-24.0,0.0,0.0,8.0,18.0,2.0,8.0,1.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,True,True,,True,True,,,True,,,True,,True,,,,,True,,,,
65,Opponent2,1996.6368989999999,2006.6570579999998,54.0,43.0,-11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,,,True,,,,
66,Opponent2,2006.6570579999998,2029.980858,68.0,43.0,-25.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,True,,,True,,,,,,,,,,,,,,
67,Opponent2,2029.980858,2055.429365,74.0,43.0,-31.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,True,,,,,,,True,,,,,,,,,,
68,Huskies,2055.429365,2061.5560570000002,28.0,43.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,True
69,Opponent2,2061.5560570000002,2065.862801,32.0,5.0,-27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,,
70,Huskies,2065.862801,2144.5294519999998,67.0,43.0,-24.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,,True,,,,,,
71,Opponent2,2144.5294519999998,2182.510169,41.0,43.0,2.0,2.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,,True,,,,,,True,,,True,,,,,,,True,,,,
72,Opponent2,2182.510169,2189.441573,88.0,74.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,,,,,,,,,,
73,Opponent2,2189.441573,2288.374582,70.0,43.0,-27.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,True,,,,
74,Opponent2,2288.374582,2292.403581,35.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,,,,,
75,Huskies,2292.403581,2324.3923489999997,67.0,43.0,-24.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,True,,
76,Opponent2,2324.3923489999997,2333.669684,48.0,43.0,-5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,True,,,,,,,,,,,
77,Opponent2,2333.669684,2393.027729,58.0,43.0,-15.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,True,,,,
78,Opponent2,2393.027729,2436.05135,70.0,88.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,,,,,,,,,,
79,Huskies,2436.05135,2448.322464,65.0,54.0,-11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,
80,Opponent2,2448.322464,2507.90303,17.0,43.0,26.0,4.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,True,,,True,,,True,,,,,,True,,,,,
81,Huskies,2507.90303,2526.007379,77.0,43.0,-34.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,True,,,,,True,True,,,,,,
82,Opponent2,2526.007379,2537.733072,72.0,43.0,-29.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,True,,,,,,,,,,
83,Huskies,2537.733072,2555.7818429999998,44.0,43.0,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,True,,,,,,,,
84,Opponent2,2555.7818429999998,2703.181919,78.0,43.0,-35.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,True,,,,,,,,,,,,,,
85,Opponent2,2703.181919,2727.728846,24.0,43.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,,,True,,,,
86,Opponent2,2727.728846,2762.816826,70.0,64.0,-6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,,,,,,,,,,
87,Huskies,2762.816826,2783.160543,71.0,79.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,
88,Huskies,2783.160543,3900.0,59.0,43.0,-16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,True,,,,,,,,,,,,True
