,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F1,Huskies_D2,Huskies_M5,Huskies_M8,Huskies_D7,Huskies_D3,Opponent13_D1,Opponent13_G1,Opponent13_D3,Huskies_D1,Huskies_G1,Opponent13_D2,Opponent13_M3,Opponent13_D4,Opponent13_M4,Opponent13_M2,Opponent13_M5,Opponent13_M1,Huskies_M6,Huskies_M1,Huskies_M3,Opponent13_F1,Huskies_M10,Huskies_M9,Opponent13_D5,Opponent13_M6,Opponent13_F2
10,Huskies,286.8333379999999,302.32971000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,,,,,,,,,,,,,,,,,,,
11,Huskies,302.32971000000003,315.15639500000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,True,True,,,,,,,
12,Opponent13,315.15639500000003,357.1976789999998,1.0,9.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,True,True,True,True,True,True,True,,,,,,,,,
13,Huskies,357.1976789999998,365.3520090000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,True,,,,,,
14,Opponent13,365.3520090000002,394.0561739999998,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,True,,,,,,,,,
15,Opponent13,394.0561739999998,475.544089,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,True,True,,,,,,,,,
16,Huskies,475.544089,477.03992199999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,,,,,,
17,Huskies,477.03992199999993,491.503647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
18,Opponent13,491.503647,494.59076599999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,True,,,,,,,,,,,
19,Opponent13,494.59076599999986,512.5386870000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,True,,,,,
20,Opponent13,512.5386870000002,527.6906960000001,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,True,True,,,,,,,,,
21,Huskies,527.6906960000001,554.7604820000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,True,,,,,,,
22,Opponent13,554.7604820000001,603.4599250000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,True,,,,,,,,,,,
23,Huskies,603.4599250000001,611.848798,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,True,,,,,,,,,,,,,,,,
24,Opponent13,611.848798,662.7971689999998,0.0,5.0,1.0,7.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,,,True,,True,,,True,,True,,True,True,,,,,,,,,,
25,Opponent13,662.7971689999998,698.3683729999997,6.0,16.0,3.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,True,,True,,,True,True,True,True,True,True,,,,,True,,,,,
26,Huskies,698.3683729999997,746.2362699999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,True,,,,,,,,,,,True,,,,,,
27,Opponent13,746.2362699999999,772.7741329999999,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,True,True,True,,,True,,,,,,,,,,
28,Opponent13,772.7741329999999,841.0715039999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,True,,,,,
29,Huskies,841.0715039999999,862.8967140000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,
30,Opponent13,862.8967140000001,910.273878,5.0,13.0,3.0,8.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,True,True,True,,,True,True,True,,True,True,,,,,,,,,,
31,Opponent13,910.273878,918.784708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,True,,,,,,,,,,
32,Opponent13,918.784708,969.006101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,,,,,,,,,,
33,Opponent13,969.006101,1037.0818710000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,,,,,,
34,Huskies,1037.0818710000003,1099.8514919999998,7.0,14.0,1.0,8.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,,,True,True,,,,,True,,,,,,,,True,True,True,,,,,,
35,Opponent13,1099.8514919999998,1117.3920420000004,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,True,,,True,,,,,,,,,
36,Huskies,1117.3920420000004,1132.2116910000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,,,,,,
37,Opponent13,1132.2116910000004,1186.1760160000003,6.0,14.0,5.0,17.0,0.0,0.0,5.0,6.0,5.0,1.0,0.0,0.0,0.0,,,,,,,True,,True,,,True,True,True,True,True,True,,,,,True,,,,,
38,Huskies,1186.1760160000003,1191.2721309999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,True,,,,
39,Opponent13,1191.2721309999995,1274.9843419999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,,,
40,Huskies,1274.9843419999995,1319.6581340000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,,,,,
41,Opponent13,1319.6581340000002,1352.13508,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,True,,True,,,,,,,,,,,,
42,Opponent13,1352.13508,1361.455328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,,,,,,,,
43,Opponent13,1361.455328,1369.7634230000006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,,,,,,,,,,,,,,,
44,Opponent13,1369.7634230000006,1406.7860680000006,1.0,1.0,1.0,6.0,0.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,True,,,True,True,,True,True,,,,,,,,,,,
45,Huskies,1406.7860680000006,1415.7073069999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,True,,,,,,,,
46,Opponent13,1415.7073069999994,1424.7728459999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,,,,,,
47,Opponent13,1424.7728459999996,1473.0713480000006,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,True,True,True,True,,,,,,,,,
48,Huskies,1473.0713480000006,1524.2364479999994,4.0,13.0,1.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,True,True,True,,,,True,,,,,,,,,,True,True,,True,,,,
49,Opponent13,1524.2364479999994,1542.0292719999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,
50,Opponent13,1542.0292719999998,1575.6089629999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,True,,,,,,,,,,,
51,Opponent13,1575.6089629999994,1598.2518539999999,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,True,True,,,,,,,,,,,,,
52,Huskies,1598.2518539999999,1615.1452339999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,,True,,,,
53,Huskies,1615.1452339999994,1623.4904820000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,True,,,,,,,
54,Opponent13,1623.4904820000004,1745.7298410000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,,,,,,
55,Opponent13,1745.7298410000005,1791.3213079999994,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,True,,,True,,,,,,,,,,,
56,Opponent13,1791.3213079999994,1794.946092,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,True,,,,,,,,,,,,
57,Huskies,1794.946092,1815.316858,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,,True,,,,
58,Opponent13,1815.316858,1826.3657540000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,True,,,,,,,,,,,
59,Opponent13,1826.3657540000006,1846.575096,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,True,True,,,,,,,,,
60,Huskies,1846.575096,1857.536821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,,,True,,,
61,Huskies,1857.536821,1909.096851,6.0,14.0,2.0,16.0,1.0,1.0,7.0,1.0,6.0,2.0,1.0,1.0,0.0,,True,,True,True,True,,,,,,,,,,,,,,True,True,,True,True,,,
62,Opponent13,1909.096851,1988.905715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,True,True,,,,,,,,,,
63,Huskies,1988.905715,1997.2540710000005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,True,,,,,,,,,,,,,,,,
64,Huskies,1997.2540710000005,2097.808137,7.0,15.0,2.0,7.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,,True,,True,,,,,,,,,,,,,True,True,True,,True,True,,,
65,Huskies,2097.808137,2145.9681710000004,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,True,True,,,True,,,,
66,Huskies,2145.9681710000004,2155.586004,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,True,,,,,,,,,True,,,,,,,
67,Huskies,2155.586004,2169.511037,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,True,,,
68,Huskies,2169.511037,2194.540976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,True,,,
69,Huskies,2194.540976,2203.183755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,,True,,,
70,Opponent13,2203.183755,2260.4839890000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,,,,,,
71,Opponent13,2260.4839890000007,2304.2829100000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,,,,,,
72,Huskies,2304.2829100000004,2315.644551000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,True,True,,,True,,,
73,Opponent13,2315.644551000001,2325.970165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,True,True,,,,,,,,,,
74,Opponent13,2325.970165,2328.380837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,,,,,,
75,Huskies,2328.380837,2331.934935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,True,,,,,,
76,Huskies,2331.934935,2335.425275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,True,,,
77,Opponent13,2335.425275,2339.0018649999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,,,,,,
78,Huskies,2339.0018649999997,2360.724911,2.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,,,,,True,True,,True,,,,
79,Huskies,2360.724911,2426.202784,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,True,,,,,,,
80,Huskies,2426.202784,2439.975479,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,True,,,,,,,,,,True,,,,,,
81,Opponent13,2439.975479,2481.304741,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,True,,,,,,,,,True,,
82,Opponent13,2481.304741,2492.917716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,,,,,True,
83,Opponent13,2492.917716,2561.718489,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,True,True,,,,,,,,,,True,
84,Huskies,2561.718489,2570.137954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,,,,,,
85,Opponent13,2570.137954,2621.013557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,,,,,,
86,Opponent13,2621.013557,2645.543565,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,,,,True,,,,,,,,,True,True,
87,Opponent13,2645.543565,2690.960863,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,True,,,,,,,,,,,,
88,Huskies,2690.960863,2710.4840719999997,2.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,True,,,,,,,,,,,,,,True,True,,True,,,,
89,Opponent13,2710.4840719999997,2786.717797,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,,,,,,True
90,Opponent13,2786.717797,2800.375718,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,,,,,,True
91,Opponent13,2800.375718,2898.083305,0.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,True,,,,,,True,True,,,,,,,,,,True,True
92,Opponent13,2898.083305,2921.1036190000004,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,,,,,,,,True,
93,Opponent13,2921.1036190000004,2933.073281,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,True,,,,,,,,,,,
94,Opponent13,2933.073281,3900.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,True,,,,,,,,,,True,
