,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D2,Huskies_M2,Huskies_M1,Huskies_D5,Huskies_M3,Huskies_D6,Opponent6_M1,Opponent6_D3,Opponent6_D2,Opponent6_D4,Opponent6_M3,Opponent6_M4,Huskies_F1,Huskies_F2,Huskies_D4,Opponent6_F2,Opponent6_M2,Opponent6_D1,Opponent6_F1,Huskies_G1,Huskies_F4,Huskies_M4,Huskies_M6,Opponent6_G1,Opponent6_F3,Opponent6_D5,Huskies_D7,Opponent6_F4
34,Opponent6,1112.8831289999996,1118.31984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
35,Huskies,1118.31984,1140.2785130000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,
36,Huskies,1140.2785130000002,1145.9554669999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,True,,,,,,,,,,,,,,,,,,,,,,
37,Opponent6,1145.9554669999998,1151.6468759999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,
38,Opponent6,1151.6468759999998,1157.480222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,
39,Opponent6,1157.480222,1164.2662449999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,,,,,,,,,,,
40,Huskies,1164.2662449999998,1168.9583430000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,
41,Opponent6,1168.9583430000002,1184.4487680000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,True,,,,,,,,,,
42,Huskies,1184.4487680000002,1223.48535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,
43,Huskies,1223.48535,1346.8805309999998,2.0,7.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,,,True,,,,,True,,True,True,,,,,
44,Huskies,1346.8805309999998,1386.554534,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,True,,,,,,,,,,,,,,,
45,Opponent6,1386.554534,1415.5686050000006,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,True,,True,,True,True,,,,,,True,,,,,,,,,,
46,Opponent6,1415.5686050000006,1436.6768599999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,
47,Huskies,1436.6768599999994,1449.396471,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,True,,,,,,,,,,,,,,,,,,,,,,
48,Huskies,1449.396471,1458.437105,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,True,,,,,,
49,Huskies,1458.437105,1519.516074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,
50,Opponent6,1519.516074,1530.1898460000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,True,,,,,,,,,,,
51,Huskies,1530.1898460000002,1537.4174489999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,
52,Opponent6,1537.4174489999994,1588.2204469999995,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,True,,,,,,,,,,,,,,,,
53,Opponent6,1588.2204469999995,1599.9546250000005,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,True,True,,,,,,True,True,,,,,,,,,,
54,Huskies,1599.9546250000005,1615.0270650000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,,True,,,,,
55,Opponent6,1615.0270650000002,1618.456104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,True,,,,,,,,,,,
56,Huskies,1618.456104,1638.9634649999996,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,True,,,,,,
57,Opponent6,1638.9634649999996,1647.3202509999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,
58,Huskies,1647.3202509999999,1693.152814,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,True,,,,,,,,True,,,,,
59,Huskies,1693.152814,1712.7637280000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,
60,Opponent6,1712.7637280000001,1836.4804270000006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,True,,,,,,,,,,,
61,Huskies,1836.4804270000006,1864.782146,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,True,,,,,,,True,,,,,,
62,Opponent6,1864.782146,1870.0822219999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,
63,Huskies,1870.0822219999998,1959.4223989999998,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,True,True,,,,,,
64,Opponent6,1959.4223989999998,1985.521425,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,True,,,,,,,,,,,,
65,Opponent6,1985.521425,2002.996727,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,True,True,,,
66,Huskies,2002.996727,2065.7156170000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,True,,,,,,,
67,Opponent6,2065.7156170000003,2069.9065530000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,
68,Huskies,2069.9065530000003,2138.932537,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,True,True,,,,,,
69,Opponent6,2138.932537,2149.028534,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,,True,,
70,Huskies,2149.028534,2266.2289520000004,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,True,,,,,True,
71,Opponent6,2266.2289520000004,2303.706513,4.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,True,,,,,,True,,True,,
72,Opponent6,2303.706513,2312.2778550000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,,,,True,,
73,Opponent6,2312.2778550000007,2412.434862,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,True
74,Huskies,2412.434862,2418.181772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
75,Huskies,2418.181772,2463.111596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,
76,Huskies,2463.111596,2488.244941,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,True,True,,,,,,
77,Huskies,2488.244941,2494.5391809999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,,True,,,,,
78,Huskies,2494.5391809999996,2499.655071,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,True,,,,,True,
79,Huskies,2499.655071,2527.560673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,True,
80,Opponent6,2527.560673,2580.6972149999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,True
81,Huskies,2580.6972149999997,2619.205243000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,True,True,,,,,True,
82,Opponent6,2619.205243000001,2630.5082620000007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,True,,,,,,,,True,,
83,Huskies,2630.5082620000007,2649.390428,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,,True,,,,,
84,Opponent6,2649.390428,2657.414363,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,
85,Huskies,2657.414363,2665.0479760000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,,True,,,,,
86,Opponent6,2665.0479760000003,2710.348973,1.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,True,,,,,,True,True,,,,,,True,,True,,True
87,Huskies,2710.348973,2740.1802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,
88,Opponent6,2740.1802,2964.2815410000007,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,True,,,,,,,,True,,True
89,Huskies,2964.2815410000007,2969.396018000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,,,,,True,
90,Opponent6,2969.396018000001,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,
