,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent10_M4,Opponent10_D4,Opponent10_F1,Huskies_M1,Huskies_M11,Opponent10_M1,Opponent10_D2,Opponent10_M2,Huskies_F2,Huskies_D2,Huskies_D7,Huskies_D4,Huskies_M4,Huskies_D3,Huskies_F1,Opponent10_D5,Opponent10_D3,Opponent10_M3,Opponent10_G1,Huskies_G1,Huskies_F4,Opponent10_D1,Huskies_M6,Opponent10_F2,Opponent10_M5,Opponent10_F3
21,Opponent10,561.4980099999998,568.8370890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,,,,,,,
22,Opponent10,568.8370890000001,675.123458,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,True,,,,
23,Opponent10,675.123458,690.5315390000002,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,True,True,,,,,,,,,True,,True,,,,,,,,
24,Huskies,690.5315390000002,748.4568129999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,,
25,Huskies,748.4568129999997,775.5129400000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,True,,,,,,,,,,,,,,
26,Huskies,775.5129400000002,828.098716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,True,,,,,True,,,True,,,,,,,,,,,,,,
27,Huskies,828.098716,859.6823709999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,True,,,,,,
28,Opponent10,859.6823709999999,873.593597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,True,,,,,,,,
29,Huskies,873.593597,887.3575739999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,,,,,,,
30,Opponent10,887.3575739999997,893.9433609999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,True,,,,,,,,,,,,,,,,,,
31,Huskies,893.9433609999996,923.7383289999997,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,True,,True,True,True,,,,,,True,,,,,
32,Huskies,923.7383289999997,1004.5147370000003,9.0,14.0,3.0,8.0,0.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,0.0,,,,True,True,,,,True,True,True,True,True,,True,,,,,,True,,,,,
33,Huskies,1004.5147370000003,1008.8011100000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,,,,,
34,Opponent10,1008.8011100000003,1039.297278,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,True,,,,,,,
35,Huskies,1039.297278,1049.9896449999997,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,True,,True,,,,,,,,,,,,
36,Opponent10,1049.9896449999997,1060.0824060000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,True,,,True,,,,
37,Huskies,1060.0824060000002,1114.8935060000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,True,,,,,,,,,,,
38,Huskies,1114.8935060000003,1269.258858,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,True,,True,True,,,,,,,,,,,
39,Opponent10,1269.258858,1278.044129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,True,,,,
40,Huskies,1278.044129,1279.915011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,,,,,
41,Opponent10,1279.915011,1289.9637890000004,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,True,True,,,,,,,,,
42,Opponent10,1289.9637890000004,1300.2103140000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,True,,,,,,,,
43,Huskies,1300.2103140000002,1380.1907309999995,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,True,,,,,,,,,,True,,,,,
44,Huskies,1380.1907309999995,1389.0891140000006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,True,,,,,
45,Opponent10,1389.0891140000006,1399.4381469999996,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,True,,,,,,,,
46,Opponent10,1399.4381469999996,1408.9225159999994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,True,,,,
47,Huskies,1408.9225159999994,1451.0612099999996,6.0,12.0,5.0,7.0,2.0,0.0,5.0,0.0,5.0,1.0,2.0,0.0,0.0,,,,True,True,,,,True,,True,True,True,True,,,,,,,,,,,,
48,Huskies,1451.0612099999996,1499.8430129999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,True,,,,,
49,Huskies,1499.8430129999995,1517.1693939999993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,True,,,,,
50,Opponent10,1517.1693939999993,1530.6151600000005,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,,,,,,,True,,,True,,,,
51,Huskies,1530.6151600000005,1554.394397,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,True,,,,,,,,,True,,,,,
52,Opponent10,1554.394397,1562.0518000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,True,,,,,,,
53,Huskies,1562.0518000000004,1583.7415609999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,,,,,
54,Opponent10,1583.7415609999996,1585.872093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,
55,Huskies,1585.872093,1654.8325160000006,5.0,10.0,1.0,8.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,True,True,,,,True,True,True,,True,True,,,,,,,,,,,,
56,Huskies,1654.8325160000006,1730.1103389999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,,,,
57,Huskies,1730.1103389999996,1870.0832079999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,True,,,,,
58,Opponent10,1870.0832079999998,1876.3789420000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,True,,,,
59,Huskies,1876.3789420000005,1879.293377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,True,,,,,
60,Opponent10,1879.293377,1884.237279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,True,,,,,,,,
61,Huskies,1884.237279,1951.810199,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,,True,,True,,,
62,Opponent10,1951.810199,1960.8842990000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,,,True,,
63,Opponent10,1960.8842990000005,1991.988648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,,,,,
64,Huskies,1991.988648,2002.7651100000005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,True,,,,,,,,,,,
65,Opponent10,2002.7651100000005,2007.8244400000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,True,,,,
66,Opponent10,2007.8244400000005,2013.119186,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,True,,,,True,,,,
67,Huskies,2013.119186,2034.01805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,,True,,,
68,Huskies,2034.01805,2078.674035,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,True,,True,,,,,,,,,,,
69,Opponent10,2078.674035,2082.971098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,,,True,,
70,Huskies,2082.971098,2114.9628220000004,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,True,,,,,True,,,,,,
71,Opponent10,2114.9628220000004,2184.198737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,
72,Huskies,2184.198737,2329.423916,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,,,,,,,,True,,,
73,Huskies,2329.423916,2331.67151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,,,,,,,,,,
74,Huskies,2331.67151,2398.709382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,True,,,,,
75,Huskies,2398.709382,2430.101957,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,True,,,,,,,,,True,,,,,,
76,Opponent10,2430.101957,2479.859582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,,,,
77,Huskies,2479.859582,2501.754147,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,,,,,,,,True,True,,,,,,,,,,True,,,
78,Huskies,2501.754147,2507.192401,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,True,,,,,
79,Opponent10,2507.192401,2516.290151,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,True,,,True,,,,
80,Huskies,2516.290151,2523.462082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,,,,
81,Opponent10,2523.462082,2537.369412,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,True,,,True,,,,
82,Huskies,2537.369412,2553.019887000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,True,,,,,,
83,Huskies,2553.019887000001,2576.407519000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,True,,,,,,
84,Huskies,2576.407519000001,2589.246516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,True,,,
85,Huskies,2589.246516,2665.212228000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,,,,,
86,Opponent10,2665.212228000001,2670.2294239999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,,,True,
87,Huskies,2670.2294239999997,2735.590246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,,,,,
88,Opponent10,2735.590246,2769.152166,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,,,,True,True
89,Huskies,2769.152166,2774.482969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,True,,,,,,,,,,,,,,
90,Huskies,2774.482969,2848.313196,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,,,,,True,,,,,
91,Opponent10,2848.313196,2852.2858300000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,,,,,True
92,Huskies,2852.2858300000003,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,,,,,,,,,,
