,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F1,Huskies_D6,Huskies_M4,Huskies_D5,Opponent15_D2,Opponent15_M3,Huskies_D2,Huskies_F2,Huskies_M1,Huskies_M8,Huskies_D7,Huskies_M6,Opponent15_F2,Opponent15_D1,Opponent15_M2,Opponent15_D3,Opponent15_D4,Huskies_G1,Opponent15_M1,Opponent15_G1,Opponent15_M4,Opponent15_F4,Huskies_M10,Huskies_M3,Opponent15_F1,Huskies_D1
24,Opponent15,713.3960649999998,721.4149809999999,49.0,43.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,,,,,,,,,
25,Huskies,721.4149809999999,732.440568,34.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,,,,,,,,,,
26,Opponent15,732.440568,767.4332760000003,8.0,40.0,32.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,True,True,,,,,,
27,Opponent15,767.4332760000003,797.9334960000001,83.0,40.0,-43.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,True,,True,,True,,,,,,,
28,Opponent15,797.9334960000001,862.8137019999998,84.0,40.0,-44.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,True,,True,,True,,,,,
29,Opponent15,862.8137019999998,909.0263020000003,31.0,40.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,True,,True,True,,,,,,,,,
30,Opponent15,909.0263020000003,917.5513380000003,75.0,78.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,True,,,,,,,,,,,
31,Opponent15,917.5513380000003,957.173764,48.0,75.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,,,,,
32,Huskies,957.173764,1033.663128,40.0,40.0,0.0,11.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,True,True,True,,,,,,,,,,,,,,,,
33,Huskies,1033.663128,1066.6190070000002,70.0,40.0,-30.0,2.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,,,True,True,True,,True,True,,,,,,True,,,,,,,,
34,Huskies,1066.6190070000002,1128.6363110000002,53.0,40.0,-13.0,3.0,0.0,9.0,31.0,7.0,20.0,3.0,2.0,10.0,2.0,13.0,5.0,2.0,0.0,0.0,,True,True,True,,,True,True,True,,True,True,,,,,,,,,,,,,,
35,Huskies,1128.6363110000002,1169.9756150000005,31.0,28.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,,,,
36,Opponent15,1169.9756150000005,1245.3292570000006,68.0,40.0,-28.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,True,,,,,,,,,,
37,Opponent15,1245.3292570000006,1290.1845400000002,46.0,72.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,,,,,,
38,Huskies,1290.1845400000002,1294.9844009999995,27.0,44.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,,,,,
39,Opponent15,1294.9844009999995,1347.0437439999996,35.0,40.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,True,,,,,,
40,Opponent15,1347.0437439999996,1361.8690729999996,62.0,72.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,True,,,,,
41,Huskies,1361.8690729999996,1454.6465479999995,32.0,63.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,,,,,,,,,,,,
42,Opponent15,1454.6465479999995,1470.684064,67.0,40.0,-27.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,True,,,,,
43,Huskies,1470.684064,1594.8087260000002,29.0,39.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,,,,,,,,,,,,,,,
44,Huskies,1594.8087260000002,1600.1893710000006,20.0,73.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,,,,,
45,Huskies,1600.1893710000006,1611.3040360000007,71.0,86.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,,,,,
46,Opponent15,1611.3040360000007,1623.3901610000007,28.0,40.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,True,,,,,,
47,Opponent15,1623.3901610000007,1626.4944880000005,68.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,True,,,,
48,Huskies,1626.4944880000005,1634.6079179999995,17.0,40.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,True,,,
49,Opponent15,1634.6079179999995,1639.6760009999996,29.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,,,,,,
50,Huskies,1639.6760009999996,1643.98499,24.0,38.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,,,True,,
51,Huskies,1643.98499,1659.8398589999995,47.0,40.0,-7.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,True,True,,
52,Opponent15,1659.8398589999995,1663.034087,66.0,40.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,,,,,,,
53,Huskies,1663.034087,1670.745419,27.0,33.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,True,True,,
54,Huskies,1670.745419,1748.6340360000006,52.0,88.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,,,,,,,,
55,Opponent15,1748.6340360000006,1798.1931569999995,50.0,32.0,-18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,True,,,,
56,Opponent15,1798.1931569999995,1800.428382,67.0,68.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,,,,,,,,,,
57,Opponent15,1800.428382,1811.400175,73.0,80.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,,,True,
58,Opponent15,1811.400175,1859.454011,80.0,78.0,-2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,,,True,
59,Huskies,1859.454011,1879.7220500000005,16.0,78.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,,,,,
60,Huskies,1879.7220500000005,1900.944904,68.0,40.0,-28.0,3.0,0.0,1.0,7.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,True,True,True,,True,,,,,,,,,,,,True,,,
61,Opponent15,1900.944904,1986.109987,38.0,9.0,-29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,,,,,
62,Huskies,1986.109987,2009.955535,63.0,76.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,True,,,
63,Huskies,2009.955535,2014.367502,79.0,40.0,-39.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,True,,,,,,,,,,,,,,,
64,Opponent15,2014.367502,2019.571847,33.0,58.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,,,,,,
65,Opponent15,2019.571847,2028.394471,72.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,,,True,
66,Huskies,2028.394471,2031.6584289999998,22.0,29.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,,,,,,,
67,Opponent15,2031.6584289999998,2103.61205,75.0,68.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,True,,,,,
68,Huskies,2103.61205,2132.096011,29.0,40.0,11.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,,,,,,,True,,True,True,,,,,,,,,,,True,,,
69,Huskies,2132.096011,2160.7123250000004,46.0,40.0,-6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,True,,,,,,,,,,,,,,
70,Opponent15,2160.7123250000004,2187.040918,72.0,71.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,True,,,,,
71,Huskies,2187.040918,2197.051334,16.0,75.0,59.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,,,,,
72,Huskies,2197.051334,2239.175755,34.0,40.0,6.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,,,,,True
73,Huskies,2239.175755,2268.3487149999996,10.0,40.0,30.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,True,,,,,,,,
74,Huskies,2268.3487149999996,2327.496647,81.0,40.0,-41.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,True,,,,,,,,,,,,True,,,
75,Huskies,2327.496647,2359.349369,35.0,30.0,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,True,,
76,Huskies,2359.349369,2360.865230000001,72.0,64.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
77,Opponent15,2360.865230000001,2364.363498,37.0,55.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,,,True,
78,Huskies,2364.363498,2380.23466,25.0,40.0,15.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,,,True,,,,,,True,,True
79,Opponent15,2380.23466,2398.588726,32.0,40.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,True,True,,,,,,,,,,,
80,Opponent15,2398.588726,2411.0304309999997,68.0,58.0,-10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,,,,,
81,Huskies,2411.0304309999997,2420.022704,38.0,47.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,True,,,
82,Opponent15,2420.022704,2457.8928300000002,71.0,40.0,-31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,True,,,,
83,Opponent15,2457.8928300000002,2482.5978130000008,3.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,,,,,
84,Huskies,2482.5978130000008,2579.4717010000004,33.0,40.0,7.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,True,,,,,,,,,,,,,,
85,Huskies,2579.4717010000004,2596.3141320000004,73.0,60.0,-13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,True,,,
86,Huskies,2596.3141320000004,2600.7910760000004,75.0,40.0,-35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,True,True,,
87,Opponent15,2600.7910760000004,2620.018231,26.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,,,,,
88,Huskies,2620.018231,2624.494808000001,15.0,73.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,,,,,
89,Opponent15,2624.494808000001,2630.757833,36.0,28.0,-8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,True,,,,,
90,Huskies,2630.757833,2649.5816440000003,63.0,40.0,-23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,True,,,,,,True,,,,,,,,
91,Huskies,2649.5816440000003,2661.831778,32.0,40.0,8.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,True,,,,,,,,,,,,,,
92,Opponent15,2661.831778,2663.981574000001,32.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,,,,,,,,,,
93,Opponent15,2663.981574000001,2754.186957,45.0,40.0,-5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,True,,,,,
94,Huskies,2754.186957,2816.82385,14.0,40.0,26.0,3.0,0.0,4.0,12.0,4.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,True,,True,,True,True,,,,,,True,,,,,True,,,True
95,Huskies,2816.82385,2847.948286,52.0,46.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,,True,,
96,Huskies,2847.948286,2874.520755,72.0,40.0,-32.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,,,,,,,True,,,
97,Opponent15,2874.520755,3900.0,30.0,29.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,,,,,
